"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1012.8","1016.3","23.6","19.8","79","1.9","140","5.9","130","0.0","0.0","--","0.00","--","0","--"
"02","1012.6","1016.1","23.7","20.1","80","1.8","120","4.7","110","0.0","0.0","--","0.00","--","0","--"
"03","1012.6","1016.1","23.9","20.0","79","2.4","110","6.5","100","0.0","0.0","--","0.00","--","0","--"
"04","1012.8","1016.3","23.9","20.0","79","1.6","100","6.0","90","0.0","0.0","--","0.00","--","0","--"
"05","1012.9","1016.4","24.1","19.2","74","2.8","110","7.7","100","0.0","0.0","--","0.00","--","0","--"
"06","1013.6","1017.1","24.1","19.2","74","2.5","110","6.3","70","0.0","0.0","0.0","0.00","--","0","--"
"07","1014.2","1017.7","24.3","18.9","72","2.2","120","5.5","120","0.0","0.0","0.0","0.12","--","0","--"
"08","1014.6","1018.1","24.9","18.6","68","1.4","100","6.2","100","0.0","0.0","0.0","0.47","25.0","1","8.0"
"09","1014.7","1018.2","25.8","16.9","58","2.6","120","9.0","80","0.0","0.0","0.2","1.04","30.0","2","7.0"
"10","1014.5","1018.0","26.9","15.9","51","3.6","110","10.8","100","0.0","0.0","0.9","2.14","--","5","--"
"11","1013.8","1017.3","27.8","15.5","47","3.5","90","10.3","110","0.0","0.0","0.9","2.71","35.0","7","4.0"
"12","1013.1","1016.6","27.8","14.5","44","3.6","110","13.1","100","0.0","0.0","0.9","2.80","--","8","--"
"13","1012.6","1016.1","27.6","14.3","44","4.3","120","9.9","60","0.0","0.0","0.6","2.28","--","6","--"
"14","1012.6","1016.1","27.2","13.6","43","4.3","110","13.5","110","0.0","0.0","0.8","2.37","40.0","5","6.0"
"15","1012.8","1016.3","27.0","13.4","43","4.2","120","11.9","120","0.0","0.0","0.6","1.65","--","3","--"
"16","1013.0","1016.5","26.4","13.5","45","5.3","110","11.5","110","0.0","0.0","0.9","1.15","--","1","--"
"17","1013.6","1017.1","25.8","14.3","49","3.0","110","10.9","80","0.0","0.0","0.8","0.46","35.0","0","7.0"
"18","1013.8","1017.3","25.3","14.8","52","3.4","100","9.7","90","0.0","0.0","0.0","0.02","--","0","--"
"19","1014.3","1017.8","24.8","14.0","51","3.3","90","9.8","80","0.0","0.0","0.0","0.00","--","0","--"
"20","1015.0","1018.5","24.4","14.2","53","2.9","110","8.5","90","0.0","0.0","--","0.00","--","0","--"
"21","1015.2","1018.7","24.2","15.2","57","2.7","90","9.1","90","0.0","0.0","--","0.00","--","0","--"
"22","1015.2","1018.7","24.1","15.3","58","3.5","90","8.3","100","0.0","0.0","--","0.00","--","0","--"
"23","1015.1","1018.6","23.9","15.4","59","3.2","90","9.4","90","0.0","0.0","--","0.00","--","0","--"
"24","1014.6","1018.1","23.8","15.6","60","2.7","100","7.1","80","0.0","0.0","--","0.00","--","0","--"
