"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1019.9","1023.5","20.0","13.5","66","2.7","100","9.7","80","T","0.1","--","0.00","--","0","--"
"02","1019.3","1022.9","20.1","13.3","65","3.5","90","7.0","90","0.0","0.0","--","0.00","--","0","--"
"03","1019.0","1022.6","19.9","14.7","72","2.9","90","9.4","80","0.0","0.0","--","0.00","--","0","--"
"04","1019.0","1022.6","19.8","15.0","74","2.5","90","7.1","110","0.0","0.0","--","0.00","--","0","--"
"05","1019.3","1022.9","19.8","15.0","74","4.0","90","10.0","80","T","0.2","--","0.00","--","0","--"
"06","1019.6","1023.2","19.5","15.6","78","3.2","90","8.8","50","T","0.1","0.0","0.00","--","0","--"
"07","1019.9","1023.5","20.2","14.6","70","2.8","80","9.2","90","0.0","0.0","0.0","0.04","--","0","--"
"08","1020.5","1024.1","19.6","15.7","78","2.8","100","10.2","70","T","0.5","0.0","0.21","25.0","0","9.0"
"09","1020.7","1024.3","20.2","15.6","75","3.8","80","9.6","70","T","0.6","0.0","0.51","30.0","1","9.0"
"10","1020.5","1024.1","20.7","15.7","73","4.2","90","12.4","80","T","0.2","0.1","0.85","--","2","--"
"11","1020.0","1023.6","21.4","15.5","69","3.1","90","9.7","70","0.0","0.0","0.0","1.01","35.0","3","9.0"
"12","1019.0","1022.6","21.5","16.0","71","3.4","90","13.0","90","0.0","0.0","0.0","1.18","--","4","--"
"13","1018.5","1022.1","20.9","16.1","74","2.9","80","12.2","100","0.0","0.0","0.0","1.00","--","3","--"
"14","1018.1","1021.7","20.8","16.0","74","4.0","80","11.8","70","0.0","0.0","0.0","0.93","35.0","2","9.0"
"15","1018.1","1021.7","20.3","16.6","79","4.4","90","13.2","90","0.0","0.0","0.0","0.66","--","2","--"
"16","1018.1","1021.7","19.8","16.3","80","4.2","80","11.1","80","0.0","0.0","0.0","0.41","--","1","--"
"17","1018.6","1022.2","19.4","16.8","85","3.6","100","11.9","70","T","0.2","0.0","0.12","20.0","0","9.0"
"18","1018.9","1022.5","19.3","17.1","87","2.4","90","9.6","90","T","0.3","0.0","0.00","--","0","--"
"19","1019.1","1022.7","19.3","17.1","87","2.3","100","8.5","60","T","0.1","0.0","0.00","--","0","--"
"20","1019.1","1022.7","19.5","17.3","87","2.4","100","9.8","80","0.0","0.0","--","0.00","--","0","--"
"21","1019.0","1022.6","19.6","17.4","87","2.3","90","10.1","80","T","0.1","--","0.00","--","0","--"
"22","1018.6","1022.2","19.7","17.5","87","2.8","90","8.6","90","0.0","0.0","--","0.00","--","0","--"
"23","1018.6","1022.2","19.9","17.7","87","2.2","90","7.2","90","0.0","0.0","--","0.00","--","0","--"
"24","1018.3","1021.9","19.4","18.2","93","1.9","90","5.6","90","T","0.5","--","0.00","--","0","--"
