"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1013.8","1017.3","24.2","22.6","91","1.8","100","4.3","80","0.0","0.0","--","0.00","--","0","--"
"02","1013.7","1017.2","24.3","22.6","90","1.7","100","4.9","90","0.0","0.0","--","0.00","--","0","--"
"03","1013.6","1017.1","24.1","22.5","91","0.6","90","4.1","80","0.0","0.0","--","0.00","--","0","--"
"04","1013.7","1017.2","23.8","22.4","92","1.7","100","4.6","80","0.0","0.0","--","0.00","--","0","--"
"05","1013.8","1017.3","23.4","22.7","96","1.8","130","4.4","70","0.0","0.0","--","0.00","--","0","--"
"06","1014.1","1017.6","23.7","22.1","91","1.9","100","5.7","90","0.0","0.0","0.0","0.00","--","0","--"
"07","1014.7","1018.3","23.4","22.6","95","2.2","120","5.5","80","0.0","0.0","0.0","0.08","--","0","--"
"08","1015.1","1018.6","24.1","22.9","93","2.3","120","6.8","120","0.0","0.0","0.0","0.45","10.0","1","10.0"
"09","1015.2","1018.7","24.3","22.4","89","2.9","90","8.3","70","0.0","0.0","0.0","0.81","10.0","2","9.0"
"10","1014.9","1018.4","25.7","23.2","86","3.3","110","9.3","90","0.0","0.0","0.2","1.58","--","5","--"
"11","1014.0","1017.5","25.2","23.3","89","2.8","90","11.5","100","0.0","0.0","0.0","1.49","15.0","5","8.0"
"12","1013.0","1016.5","26.3","23.6","85","3.7","90","9.9","60","0.0","0.0","0.0","1.60","--","6","--"
"13","1012.2","1015.7","26.3","23.2","83","4.3","90","12.1","80","0.0","0.0","0.4","1.98","--","7","--"
"14","1011.8","1015.3","25.5","23.4","88","3.7","80","11.5","60","0.0","0.0","0.0","1.35","10.0","4","10.0"
"15","1011.5","1015.0","24.9","23.0","89","3.6","90","11.5","70","0.0","0.0","0.0","0.86","--","2","--"
"16","1011.7","1015.2","25.3","22.6","85","4.0","90","10.8","80","0.0","0.0","0.0","0.75","--","1","--"
"17","1011.8","1015.3","25.1","22.6","86","3.8","90","10.5","70","0.0","0.0","0.0","0.31","11.0","0","8.0"
"18","1012.1","1015.6","24.5","23.3","93","3.2","90","10.5","70","0.0","0.0","0.0","0.02","--","0","--"
"19","1012.9","1016.4","24.3","22.9","92","2.8","90","10.6","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1013.6","1017.1","24.1","22.4","90","3.9","90","9.5","90","0.0","0.0","--","0.00","--","0","--"
"21","1014.2","1017.7","23.5","22.5","94","2.7","90","8.8","90","0.0","0.0","--","0.00","--","0","--"
"22","1014.5","1018.0","24.1","21.6","86","3.5","100","8.1","80","0.0","0.0","--","0.00","--","0","--"
"23","1014.9","1018.4","23.7","21.4","87","2.2","90","8.7","60","0.0","0.0","--","0.00","--","0","--"
"24","1014.8","1018.4","23.3","21.4","89","2.4","80","8.7","60","0.0","0.0","--","0.00","--","0","--"
