"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1013.2","1016.8","21.9","16.4","71","2.6","90","6.1","80","0.0","0.0","--","0.00","--","0","--"
"02","1012.7","1016.3","21.9","16.4","71","2.9","90","6.9","70","0.0","0.0","--","0.00","--","0","--"
"03","1012.4","1016.0","21.7","16.2","71","2.7","90","6.2","100","0.0","0.0","--","0.00","--","0","--"
"04","1012.2","1015.8","21.4","16.2","72","2.3","90","5.7","80","0.0","0.0","--","0.00","--","0","--"
"05","1012.4","1016.0","21.2","16.4","74","1.6","90","5.0","90","0.0","0.0","--","0.00","--","0","--"
"06","1012.9","1016.5","20.9","16.1","74","1.4","120","3.8","80","0.0","0.0","0.0","0.00","--","0","--"
"07","1013.3","1016.9","20.9","16.3","75","1.5","100","3.7","80","0.0","0.0","0.5","0.10","--","0","--"
"08","1013.4","1017.0","22.9","16.2","66","1.5","90","4.5","100","0.0","0.0","1.0","0.69","70.0","1","1.0"
"09","1013.6","1017.1","24.8","16.5","60","2.5","80","5.8","70","0.0","0.0","1.0","1.42","70.0","2","1.0"
"10","1013.3","1016.8","26.0","16.6","56","2.3","100","7.0","90","0.0","0.0","1.0","2.05","--","4","--"
"11","1012.6","1016.1","27.2","16.2","51","1.5","80","6.5","90","0.0","0.0","1.0","2.46","70.0","5","1.0"
"12","1011.3","1014.8","26.7","15.8","51","2.1","100","5.5","130","0.0","0.0","1.0","2.64","--","6","--"
"13","1010.4","1013.9","27.5","17.4","54","2.9","70","6.8","90","0.0","0.0","1.0","2.54","--","6","--"
"14","1009.9","1013.4","26.9","16.8","54","2.8","90","6.8","50","0.0","0.0","1.0","2.21","60.0","4","3.0"
"15","1009.9","1013.4","25.6","15.9","55","2.3","70","8.8","100","0.0","0.0","0.9","1.44","--","2","--"
"16","1010.4","1013.9","24.7","16.2","59","2.7","70","9.0","80","0.0","0.0","0.2","0.58","--","1","--"
"17","1011.2","1014.7","24.0","16.8","64","2.9","90","7.2","80","0.0","0.0","0.2","0.15","40.0","0","3.0"
"18","1011.8","1015.3","23.9","16.9","65","2.8","90","8.2","80","0.0","0.0","0.0","0.00","--","0","--"
"19","1012.4","1015.9","23.8","17.1","66","1.7","80","7.2","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1012.6","1016.1","23.1","17.3","70","2.3","80","5.1","80","0.0","0.0","--","0.00","--","0","--"
"21","1012.5","1016.0","22.8","17.7","73","2.3","100","6.4","70","0.0","0.0","--","0.00","--","0","--"
"22","1012.1","1015.7","22.4","17.3","73","2.3","90","5.9","90","0.0","0.0","--","0.00","--","0","--"
"23","1011.8","1015.4","22.2","17.1","73","2.1","90","6.3","90","0.0","0.0","--","0.00","--","0","--"
"24","1011.6","1015.2","21.9","16.9","73","2.1","90","5.0","80","0.0","0.0","--","0.00","--","0","--"
