"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1017.9","1021.5","18.8","17.3","91","4.3","90","11.0","90","0.0","0.0","--","0.00","--","0","--"
"02","1017.5","1021.1","19.0","17.5","91","3.6","90","11.5","80","0.0","0.0","--","0.00","--","0","--"
"03","1017.5","1021.1","19.2","17.7","91","3.4","90","9.5","70","0.0","0.0","--","0.00","--","0","--"
"04","1017.3","1020.9","19.0","17.8","93","3.5","100","8.7","80","0.0","0.0","--","0.00","--","0","--"
"05","1017.6","1021.2","18.9","17.7","93","3.6","90","8.8","110","0.0","0.0","--","0.00","--","0","--"
"06","1018.1","1021.7","18.9","17.6","92","3.7","90","8.6","80","0.0","0.0","0.0","0.00","--","0","--"
"07","1018.8","1022.4","19.0","17.5","91","3.2","110","9.1","80","0.0","0.0","0.0","0.01","--","0","--"
"08","1019.3","1022.9","19.0","17.5","91","3.1","100","7.6","90","T","0.2","0.0","0.12","25.0","0","10.0"
"09","1019.8","1023.4","19.1","17.4","90","3.0","100","8.6","70","0.0","0.0","0.0","0.28","25.0","1","10.0"
"10","1019.7","1023.3","18.8","17.5","92","3.4","100","8.9","90","T","0.8","0.0","0.36","--","1","--"
"11","1019.2","1022.8","19.5","17.3","87","3.4","100","9.6","80","T","1.0","0.0","0.59","15.0","2","10.0"
"12","1018.1","1021.7","19.6","17.2","86","4.0","90","9.5","100","T","0.1","0.1","1.17","--","4","--"
"13","1017.1","1020.7","20.0","17.2","84","3.9","90","10.2","100","0.0","0.0","0.0","1.48","--","4","--"
"14","1017.1","1020.7","20.3","17.5","84","4.7","90","11.2","90","0.0","0.0","0.1","1.36","25.0","3","9.0"
"15","1017.1","1020.7","19.8","17.6","87","4.4","90","11.2","80","0.0","0.0","0.0","0.74","--","2","--"
"16","1016.6","1020.2","19.4","17.4","88","4.2","80","11.7","110","0.0","0.0","0.0","0.28","--","0","--"
"17","1017.5","1021.1","19.2","17.5","90","3.0","100","8.9","70","0.0","0.0","0.0","0.07","30.0","0","9.0"
"18","1017.6","1021.2","19.1","17.6","91","2.6","100","9.7","70","0.0","0.0","0.0","0.00","--","0","--"
"19","1017.9","1021.5","19.0","17.8","93","2.7","100","8.6","90","T","0.3","0.0","0.00","--","0","--"
"20","1018.1","1021.7","19.1","18.1","94","3.0","110","7.8","140","0.0","0.0","--","0.00","--","0","--"
"21","1017.5","1021.1","19.1","17.9","93","3.4","100","9.8","130","T","0.2","--","0.00","--","0","--"
"22","1017.8","1021.4","19.1","17.9","93","2.7","90","8.1","70","T","0.3","--","0.00","--","0","--"
"23","1016.9","1020.5","19.2","17.9","92","3.2","90","8.4","70","0.0","0.0","--","0.00","--","0","--"
"24","1016.6","1020.2","19.3","18.3","94","2.9","90","7.3","50","T","0.1","--","0.00","--","0","--"
