"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1014.5","1018.0","23.7","15.5","60","3.4","100","7.3","80","0.0","0.0","--","0.00","--","0","--"
"02","1014.2","1017.7","23.6","15.1","59","3.0","90","8.3","90","0.0","0.0","--","0.00","--","0","--"
"03","1013.9","1017.4","23.5","15.8","62","3.1","100","9.4","90","0.0","0.0","--","0.00","--","0","--"
"04","1013.7","1017.2","23.5","16.6","65","3.9","100","7.8","130","0.0","0.0","--","0.00","--","0","--"
"05","1013.9","1017.4","23.4","16.2","64","2.5","100","8.1","100","0.0","0.0","--","0.00","--","0","--"
"06","1014.3","1017.8","23.6","15.7","61","2.7","100","8.3","80","0.0","0.0","0.0","0.00","--","0","--"
"07","1014.8","1018.3","23.8","15.9","61","3.2","100","8.6","110","0.0","0.0","0.0","0.25","--","0","--"
"08","1015.6","1019.1","24.3","16.3","61","3.4","100","9.7","110","0.0","0.0","0.0","0.59","25.0","1","9.0"
"09","1015.8","1019.3","25.0","15.6","56","4.5","80","10.2","80","0.0","0.0","0.1","1.08","25.0","2","9.0"
"10","1015.8","1019.3","26.2","15.9","53","4.4","100","10.8","70","0.0","0.0","0.6","1.84","--","4","--"
"11","1015.3","1018.8","27.1","16.4","52","4.5","90","10.7","80","0.0","0.0","0.9","2.63","30.0","7","7.0"
"12","1014.8","1018.3","27.3","16.9","53","3.7","90","12.8","100","0.0","0.0","1.0","2.99","--","8","--"
"13","1014.0","1017.5","27.4","16.4","51","3.6","90","11.7","90","0.0","0.0","1.0","2.83","--","7","--"
"14","1013.6","1017.1","27.5","17.1","53","4.2","90","11.6","80","0.0","0.0","1.0","2.58","25.0","6","8.0"
"15","1013.6","1017.1","26.5","17.0","56","5.8","110","12.4","120","0.0","0.0","0.7","1.70","--","3","--"
"16","1013.7","1017.2","26.2","17.6","59","3.7","90","11.0","120","0.0","0.0","0.0","0.84","--","1","--"
"17","1014.1","1017.6","25.7","17.9","62","3.6","100","11.5","100","0.0","0.0","0.0","0.31","14.0","0","8.0"
"18","1014.2","1017.7","25.5","18.2","64","3.4","90","9.1","110","0.0","0.0","0.0","0.02","--","0","--"
"19","1014.5","1018.0","25.3","18.5","66","2.8","100","8.4","80","0.0","0.0","0.0","0.00","--","0","--"
"20","1014.9","1018.4","25.2","18.9","68","3.1","90","7.3","60","0.0","0.0","--","0.00","--","0","--"
"21","1015.2","1018.7","25.2","18.9","68","2.9","90","8.1","70","0.0","0.0","--","0.00","--","0","--"
"22","1014.8","1018.3","25.2","18.9","68","3.3","90","9.1","70","0.0","0.0","--","0.00","--","0","--"
"23","1014.4","1017.9","25.1","18.8","68","3.6","90","8.7","80","0.0","0.0","--","0.00","--","0","--"
"24","1014.1","1017.6","25.2","19.1","69","3.5","90","8.3","80","0.0","0.0","--","0.00","--","0","--"
