"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1012.7","1016.2","24.9","19.7","73","1.8","80","5.7","80","0.0","0.0","--","0.00","--","0","--"
"02","1012.1","1015.6","24.7","19.8","74","1.1","100","4.1","80","0.0","0.0","--","0.00","--","0","--"
"03","1011.9","1015.4","24.3","19.6","75","1.0","110","3.2","80","0.0","0.0","--","0.00","--","0","--"
"04","1012.0","1015.5","24.1","19.8","77","0.7","200","1.6","200","0.0","0.0","--","0.00","--","0","--"
"05","1011.9","1015.4","23.5","19.9","80","0.7","150","1.7","130","0.0","0.0","--","0.00","--","0","--"
"06","1012.4","1015.9","23.1","19.7","81","0.4","160","2.0","160","0.0","0.0","0.0","0.00","--","0","--"
"07","1012.6","1016.1","23.8","20.0","79","0.9","170","1.7","100","0.0","0.0","0.5","0.15","--","0","--"
"08","1012.8","1016.3","25.6","20.0","71","1.3","120","2.8","110","0.0","0.0","1.0","0.79","70.0","1","2.0"
"09","1012.8","1016.3","28.0","21.3","67","2.2","110","4.6","110","0.0","0.0","1.0","1.51","70.0","2","2.0"
"10","1012.6","1016.1","28.9","20.6","61","3.3","130","8.1","110","0.0","0.0","1.0","2.12","--","4","--"
"11","1011.9","1015.4","29.7","20.0","56","3.7","110","8.4","90","0.0","0.0","0.9","2.32","60.0","6","7.0"
"12","1011.1","1014.6","29.4","20.0","57","2.5","110","8.2","90","0.0","0.0","0.9","2.08","--","6","--"
"13","1010.1","1013.6","30.2","19.9","54","1.9","120","5.9","70","0.0","0.0","0.9","2.31","--","6","--"
"14","1009.5","1012.9","31.1","20.1","52","0.8","130","4.6","120","0.0","0.0","1.0","2.18","50.0","5","5.0"
"15","1009.4","1012.8","31.3","20.9","54","0.8","320","4.1","300","0.0","0.0","0.7","1.37","--","2","--"
"16","1009.9","1013.4","29.1","22.1","66","1.1","320","5.6","320","0.0","0.0","0.6","0.66","--","1","--"
"17","1010.7","1014.2","28.0","22.3","71","1.5","320","5.2","330","0.0","0.0","0.0","0.20","15.0","0","7.0"
"18","1011.5","1015.0","27.6","22.3","73","1.4","320","4.2","320","0.0","0.0","0.0","0.00","--","0","--"
"19","1012.2","1015.7","27.2","22.2","74","0.6","340","4.0","340","0.0","0.0","0.0","0.00","--","0","--"
"20","1012.9","1016.4","27.1","21.6","72","0.6","220","2.7","310","0.0","0.0","--","0.00","--","0","--"
"21","1013.2","1016.7","26.5","21.3","73","1.7","160","3.3","180","0.0","0.0","--","0.00","--","0","--"
"22","1013.2","1016.7","26.0","21.5","76","1.4","180","3.5","160","0.0","0.0","--","0.00","--","0","--"
"23","1013.2","1016.7","25.7","21.4","77","1.1","170","2.3","160","0.0","0.0","--","0.00","--","0","--"
"24","1013.1","1016.6","25.5","21.4","78","1.6","160","3.3","160","0.0","0.0","--","0.00","--","0","--"
