"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1016.2","1019.8","19.4","18.4","94","1.6","110","6.1","80","T","0.1","--","0.00","--","0","--"
"02","1015.2","1018.8","19.2","18.4","95","2.8","100","7.8","80","0.5","0.6","--","0.00","--","0","--"
"03","1014.9","1018.5","19.2","18.5","96","2.5","120","7.5","70","0.5","0.5","--","0.00","--","0","--"
"04","1013.4","1017.0","18.9","18.4","97","2.7","110","7.4","80","2.5","0.8","--","0.00","--","0","--"
"05","1013.9","1017.5","18.8","18.5","98","3.1","140","6.3","100","7.5","1.0","--","0.00","--","0","--"
"06","1013.9","1017.5","18.7","18.5","99","1.9","120","5.4","130","9.0","1.0","0.0","0.00","--","0","--"
"07","1014.6","1018.2","18.8","18.6","99","1.5","100","2.9","120","5.5","1.0","0.0","0.01","--","0","--"
"08","1015.1","1018.7","19.3","19.1","99","0.9","180","3.7","120","3.0","1.0","0.0","0.08","12.0","0","10.0"
"09","1015.1","1018.7","19.3","19.1","99","1.0","170","2.0","80","4.0","1.0","0.0","0.13","3.5","0","10.0"
"10","1015.1","1018.7","19.5","19.3","99","0.8","320","2.9","290","7.0","1.0","0.0","0.14","--","0","--"
"11","1014.1","1017.7","19.7","19.5","99","0.8","200","2.4","320","3.5","1.0","0.0","0.28","3.0","1","10.0"
"12","1013.4","1017.0","20.0","19.7","98","0.9","220","1.9","60","3.0","1.0","0.0","0.37","--","1","--"
"13","1012.0","1015.6","20.3","20.0","98","0.9","280","2.1","240","2.5","1.0","0.0","0.38","--","1","--"
"14","1011.3","1014.9","20.2","19.9","98","0.8","300","2.7","290","3.0","1.0","0.0","0.29","4.0","1","10.0"
"15","1011.1","1014.7","20.5","20.2","98","0.5","280","2.7","320","1.5","1.0","0.0","0.37","--","1","--"
"16","1011.5","1015.1","20.3","20.0","98","1.9","320","4.6","320","0.5","1.0","0.0","0.18","--","0","--"
"17","1011.6","1015.2","20.4","20.1","98","1.0","300","4.1","340","1.0","1.0","0.0","0.05","3.0","0","10.0"
"18","1012.0","1015.6","20.3","20.0","98","1.5","300","4.0","290","1.5","1.0","0.0","0.00","--","0","--"
"19","1011.9","1015.5","19.9","19.7","99","2.0","320","4.7","320","0.5","0.7","0.0","0.00","--","0","--"
"20","1011.7","1015.3","19.6","19.4","99","0.8","360","4.7","340","0.5","0.7","--","0.00","--","0","--"
"21","1012.6","1016.2","19.7","19.4","98","1.0","290","3.1","310","1.5","0.7","--","0.00","--","0","--"
"22","1012.5","1016.1","19.4","19.2","99","0.9","330","2.4","340","2.5","0.9","--","0.00","--","0","--"
"23","1011.9","1015.5","19.6","19.3","98","1.4","300","2.9","320","0.5","0.3","--","0.00","--","0","--"
"24","1012.0","1015.6","19.5","19.2","98","0.9","310","3.0","340","0.0","0.0","--","0.00","--","0","--"
