"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1006.6","1010.1","26.4","24.4","89","2.2","110","6.0","90","0.0","0.0","--","0.00","--","0","--"
"02","1006.2","1009.7","26.6","24.3","87","1.3","100","4.2","120","0.0","0.0","--","0.00","--","0","--"
"03","1006.0","1009.5","26.0","24.8","93","1.5","190","2.4","130","0.0","0.0","--","0.00","--","0","--"
"04","1005.6","1009.1","25.9","24.9","94","1.4","200","2.0","230","0.0","0.0","--","0.00","--","0","--"
"05","1006.2","1009.7","26.0","24.8","93","0.8","190","2.5","190","0.0","0.0","--","0.00","--","0","--"
"06","1006.5","1010.0","25.7","24.7","94","0.7","140","1.4","160","0.0","0.0","0.0","0.00","--","0","--"
"07","1007.0","1010.5","26.2","25.0","93","0.8","130","1.7","110","0.0","0.0","0.0","0.17","--","0","--"
"08","1007.7","1011.2","26.8","24.5","87","0.7","180","2.1","140","0.0","0.0","0.0","0.52","30.0","1","9.0"
"09","1007.8","1011.3","27.8","24.9","84","1.0","170","2.0","150","0.0","0.0","0.0","0.91","30.0","2","10.0"
"10","1007.9","1011.4","28.5","24.9","81","1.5","160","2.6","160","0.0","0.0","0.0","1.17","--","4","--"
"11","1007.7","1011.2","29.1","25.3","80","0.9","200","2.4","200","0.0","0.0","0.0","1.26","30.0","4","10.0"
"12","1006.8","1010.2","30.2","24.4","71","1.6","210","3.8","220","0.0","0.0","0.1","1.80","--","6","--"
"13","1006.3","1009.7","30.4","24.1","69","1.2","210","4.1","270","0.0","0.0","0.0","1.74","--","6","--"
"14","1005.8","1009.2","30.8","25.4","73","1.5","240","4.0","220","0.0","0.0","0.1","1.46","25.0","4","10.0"
"15","1005.7","1009.1","30.5","25.4","74","1.3","290","5.5","280","0.0","0.0","0.1","1.21","--","3","--"
"16","1006.4","1009.8","29.6","25.8","80","3.1","320","7.1","300","0.0","0.0","0.0","0.49","--","1","--"
"17","1006.9","1010.4","27.9","25.9","89","1.3","320","6.5","320","0.0","0.0","0.0","0.17","20.0","0","10.0"
"18","1007.8","1011.3","26.9","25.3","91","2.0","330","5.7","320","0.0","0.0","0.0","0.01","--","0","--"
"19","1008.4","1011.9","26.8","24.8","89","1.0","260","5.4","340","0.0","0.0","0.0","0.00","--","0","--"
"20","1009.1","1012.6","26.4","25.2","93","1.3","300","3.4","270","T","0.1","--","0.00","--","0","--"
"21","1009.8","1013.3","26.0","25.3","96","1.4","300","4.1","320","T","0.2","--","0.00","--","0","--"
"22","1010.1","1013.6","25.5","25.0","97","1.4","290","4.9","310","2.0","0.5","--","0.00","--","0","--"
"23","1010.1","1013.6","25.1","24.6","97","1.5","290","6.0","300","5.5","1.0","--","0.00","--","0","--"
"24","1010.0","1013.5","25.0","24.7","98","1.2","240","4.3","330","2.0","0.3","--","0.00","--","0","--"
