"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1008.2","1011.7","24.9","21.2","80","1.2","140","2.8","140","0.0","0.0","--","0.00","--","0","--"
"02","1007.5","1011.0","24.5","21.2","82","1.5","170","2.7","170","0.0","0.0","--","0.00","--","0","--"
"03","1006.9","1010.4","24.2","21.1","83","1.4","160","2.6","160","0.0","0.0","--","0.00","--","0","--"
"04","1006.8","1010.3","24.1","20.8","82","1.2","180","2.9","140","0.0","0.0","--","0.00","--","0","--"
"05","1006.9","1010.4","24.1","19.8","77","1.8","170","3.7","170","0.0","0.0","--","0.00","--","0","--"
"06","1007.3","1010.8","24.1","19.8","77","1.2","160","4.0","180","0.0","0.0","0.0","0.00","--","0","--"
"07","1007.8","1011.3","24.6","20.3","77","1.1","170","2.8","160","0.0","0.0","0.0","0.14","--","0","--"
"08","1007.7","1011.2","25.7","20.1","71","0.7","200","3.8","170","0.0","0.0","0.0","0.25","30.0","1","9.0"
"09","1007.9","1011.4","26.2","20.1","69","2.2","160","3.9","150","0.0","0.0","0.0","0.53","30.0","1","9.0"
"10","1008.0","1011.5","24.9","23.0","89","1.7","130","4.9","120","T","0.2","0.0","0.35","--","1","--"
"11","1007.2","1010.7","24.2","22.8","92","1.8","210","3.0","230","T","1.0","0.0","0.28","12.0","1","10.0"
"12","1006.6","1010.1","24.8","22.9","89","2.3","160","3.8","160","T","0.9","0.0","0.22","--","1","--"
"13","1005.8","1009.3","25.1","23.2","89","1.1","170","3.7","160","0.0","0.0","0.0","0.29","--","1","--"
"14","1004.9","1008.4","25.4","23.8","91","2.1","160","3.0","160","T","0.5","0.0","0.24","15.0","1","10.0"
"15","1004.7","1008.2","25.2","24.2","94","1.0","220","2.8","170","T","1.0","0.0","0.15","--","1","--"
"16","1004.8","1008.3","25.0","24.5","97","1.0","200","2.8","220","1.0","1.0","0.0","0.08","--","0","--"
"17","1005.0","1008.5","25.4","24.9","97","0.8","180","2.4","210","T","1.0","0.0","0.06","15.0","0","10.0"
"18","1005.0","1008.5","25.7","25.4","98","0.9","190","2.8","180","1.0","1.0","0.0","0.01","--","0","--"
"19","1005.0","1008.5","25.7","25.4","98","1.6","210","3.3","180","0.5","0.3","0.0","0.00","--","0","--"
"20","1005.5","1009.0","26.0","25.7","98","0.9","140","2.9","160","T","0.1","--","0.00","--","0","--"
"21","1005.7","1009.2","26.0","25.7","98","1.7","160","3.1","260","0.5","0.3","--","0.00","--","0","--"
"22","1005.6","1009.1","26.2","25.7","97","1.6","50","4.4","20","0.5","0.3","--","0.00","--","0","--"
"23","1005.4","1008.9","25.9","25.6","98","0.7","120","4.9","360","T","0.3","--","0.00","--","0","--"
"24","1005.2","1008.7","25.9","25.4","97","3.0","90","8.0","90","1.0","0.3","--","0.00","--","0","--"
